Source,Target,Weight,Label,Type
6,172,1,Año,Dirigido
6,203,1,Año,Dirigido
6,206,1,Año,Dirigido
6,212,1,Año,Dirigido
6,239,1,Año,Dirigido
6,288,1,Año,Dirigido
6,291,1,Año,Dirigido
6,300,1,Año,Dirigido
6,347,1,Año,Dirigido
6,349,1,Año,Dirigido
6,355,1,Año,Dirigido
6,358,1,Año,Dirigido
6,374,1,Año,Dirigido
6,379,1,Año,Dirigido
6,380,1,Año,Dirigido
6,386,1,Año,Dirigido
6,396,1,Año,Dirigido
6,408,1,Año,Dirigido
6,414,1,Año,Dirigido
6,418,1,Año,Dirigido
6,419,1,Año,Dirigido
6,420,1,Año,Dirigido
6,421,1,Año,Dirigido
6,423,1,Año,Dirigido
6,427,1,Año,Dirigido
6,429,1,Año,Dirigido
